Name,PDF,Excel
"Table P-2. Limitation in usual activities, and persons limited due to one or more chronic conditions, by selected characteristics: United States, 2016",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_P-2.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_P-2.xlsx
"Table P-3. Persons having limitation in activities of daily living and instrumental activities of daily living among persons aged 18 and over, by selected characteristics: United States, 2016",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_P-3.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_P-3.xlsx
"Table P-4. Limitation in work activity due to health problems among persons aged 18–69, by selected characteristics: United States, 2016",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_P-4.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_P-4.xlsx
"Table P-9. Persons who did not receive medical care or who delayed seeking medical care in the past year due to cost, by selected characteristics: United States, 2016",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_P-9.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_P-9.xlsx
"Table P-10. Number of overnight hospital stays during the past 12 months, by selected characteristics: United States, 2016",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_P-10.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_P-10.xlsx
"Table P-11. Type of health insurance coverage for persons under age 65 and for persons aged 65 and over, by selected characteristics: United States, 2016",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_P-11.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_P-11.xlsx
"Table P-12. Any period without health insurance coverage during the past 12 months, among currently insured persons under age 65, and persons who were without coverage for 6 months or less or for 7–12 months, among currently insured persons under age 65, by selected characteristics: United States, 2016",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_P-12.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_P-12.xlsx
"Table P-13. Length of time since last had health insurance coverage among currently uninsured persons under age 65, by selected characteristics: United States, 2016",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_P-13.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_P-13.xlsx
"Table P-14. Currently uninsured persons under age 65, by selected reasons for no health insurance coverage and by selected characteristics: United States, 2016",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_P-14.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_P-14.xlsx
"Table C-1. Ever having asthma and still having asthma for children under age 18 years, by selected characteristics: United States, 2016",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_C-1.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_C-1.xlsx
"Table C-2. Hay fever, respiratory allergies, food allergies, and skin allergies in the past 12 months for children under age 18 years, by selected characteristics: United States, 2016",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_C-2.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_C-2.xlsx
"Table C-3. Ever having been told of having a learning disability or attention deficit/hyperactivity disorder for children aged 3-17 years, by selected characteristics: United States, 2016",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_C-3.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_C-3.xlsx
"Table C-4. Having a problem for which prescription medication has been taken regularly for at least 3 months for children under age 18 years, by selected characteristics: United States, 2016",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_C-4.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_C-4.xlsx
"Table C-5. Respondent-assessed health status for children under age 18 years by selected characteristics: United States, 2016",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_C-5.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_C-5.xlsx
"Table C-6. Number of school days missed in the past 12 months because of illness or injury for children aged 5-17 years, by selected characteristics: United States, 2016",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_C-6.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_C-6.xlsx
"Table C-7. Usual place of health care, and type of place, for children under age 18 years, by selected characteristics: United States, 2016",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_C-7.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_C-7.xlsx
"Table C-8. Length of time since last contact with a health care professional for children under age 18 years, by selected characteristics: United States, 2016",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_C-8.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_C-8.xlsx
"Table C-9. Selected measures of health care access for children under age 18 years by selected characteristics: United States, 2016",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_C-9.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_C-9.xlsx
"Table C-10. Emergency room visits in the past 12 months for children under age 18 years by selected characteristics: United States, 2016",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_C-10.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_C-10.xlsx
"Table C-11. Unmet dental need in the past 12 months and of length of time since last dental visit for children aged 2-17 years, by selected characteristics: United States, 2016",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_C-11.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_C-11.xlsx
"Table C-12. Receiving special education or early intervention services for children under age 18 years, by selected characteristics: United States, 2016",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_C-12.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_C-12.xlsx
"Table A-1. Selected circulatory diseases among adults aged 18 and over, by selected characteristics: United States, 2016",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_A-1.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_A-1.xlsx
"Table A-2. Selected respiratory diseases among adults aged 18 and over, by selected characteristics: United States, 2016",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_A-2.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_A-2.xlsx
"Table A-3. Cancer among adults aged 18 and over, by selected characteristics: United States, 2016",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_A-3.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_A-3.xlsx
"Table A-4. Selected diseases and conditions among adults aged 18 and over, by selected characteristics: United States, 2016",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_A-4.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_A-4.xlsx
"Table A-5. Migraines and pain in neck, lower back, face, or jaw among adults aged 18 and over, by selected characteristics: United States, 2016",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_A-5.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_A-5.xlsx
"Table A-6. Hearing trouble, vision trouble, and absence of teeth among adults aged 18 and over, by selected characteristics: United States, 2016",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_A-6.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_A-6.xlsx
"Table A-7. Feelings of sadness, hopelessness, worthlessness, or that everything is an effort among adults aged 18 and over, by selected characteristics: United States, 2016",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_A-7.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_A-7.xlsx
"Table A-8. Feelings of nervousness, restlessness, or serious psychological distress among adults aged 18 and over, by selected characteristics: United States, 2016",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_A-8.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_A-8.xlsx
"Table A-9. Work-loss days among employed adults aged 18 and over in past 12 months, and bed days among all adults aged 18 and over in past 12 months, by selected characteristics: United States, 2016",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_A-9.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_A-9.xlsx
"Table A-10. Difficulties in physical functioning among adults aged 18 and over, by selected characteristics: United States, 2016",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_A-10.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_A-10.xlsx
"Table A-11. Respondent-assessed health status among adults aged 18 and over, by selected characteristics: United States, 2016",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_A-11.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_A-11.xlsx
"Table A-12. Current cigarette smoking status among adults aged 18 and over, by selected characteristics: United States, 2016",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_A-12.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_A-12.xlsx
"Table A-13. Alcohol drinking status among adults aged 18 and over, by selected characteristics: United States, 2016",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_A-13.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_A-13.xlsx
"Table A-14. Participation in leisure-time aerobic and muscle-strengthening activities that meet the 2008 federal physical activity guidelines among adults aged 18 and over, by selected characteristics: United States, 2016",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_A-14.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_A-14.xlsx
"Table A-15. Body mass index among adults aged 18 and over, by selected characteristics: United States, 2016",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_A-15.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_A-15.xlsx
"Table A-16. Having a usual place of health care, and of type of place, among adults aged 18 and over, by selected characteristics: United States, 2016",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_A-16.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_A-16.xlsx
"Table A-17. Number of office visits to doctor or other health care professional in past 12 months among adults aged 18 and over, by selected characteristics: United States, 2016",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_A-17.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_A-17.xlsx
"Table A-18. Length of time since last contact with doctor or other health professional among adults aged 18 and over, by selected characteristics: United States, 2016",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_A-18.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_A-18.xlsx
"Table A-19. Length of time since last visit with dentist other dental health professional among adults aged 18 and over, by selected characteristics: United States, 2016",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_A-19.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_A-19.xlsx
"Table A-20. Human immunodeficiency virus testing status among adults aged 18 and over, by selected characteristics: United States, 2016",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_A-20.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2016_SHS_Table_A-20.xlsx
"Table P-1. Respondent-assessed health status, by selected characteristics: United States, 2015",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_P-1.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_P-1.xlsx
"Table P-2. Limitation in usual activities, and persons limited due to one or more chronic conditions, by selected characteristics: United States, 2015",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_P-2.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_P-2.xlsx
"Table P-3. Persons having limitation in activities of daily living and instrumental activities of daily living among persons aged 18 and over, by selected characteristics: United States, 2015",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_P-3.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_P-3.xlsx
"Table P-4. Limitation in work activity due to health problems among persons aged 18-69, by selected characteristics: United States, 2015",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_P-4.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_P-4.xlsx
"Table P-9. Persons who did not receive medical care or who delayed seeking medical care in the past year due to cost, by selected characteristics: United States, 2015",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_P-9.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_P-9.xlsx
"Table P-10. Number of overnight hospital stays during the past 12 months, by selected characteristics: United States, 2015",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_P-10.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_P-10.xlsx
"Table P-11. Type of health insurance coverage for persons under age 65 and for persons aged 65 and over, by selected characteristics: United States, 2015",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_P-11.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_P-11.xlsx
"Table P-12. Any period without health insurance coverage during the past 12 months, among currently insured persons under age 65, and persons who were without coverage for 6 months or less or for 7-12 months, among currently insured persons under age 65, by selected characteristics: United States, 2015",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_P-12.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_P-12.xlsx
"Table P-13. Length of time since last had health insurance coverage among currently uninsured persons under age 65, by selected characteristics: United States, 2015",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_P-13.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_P-13.xlsx
"Table P-14. Currently uninsured persons under age 65, by selected reasons for no health insurance coverage and by selected characteristics: United States, 2015",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_P-14.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_P-14.xlsx
"Table C-1. Ever having asthma and still having asthma for children under age 18 years, by selected characteristics: United States, 2015",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_C-1.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_C-1.xlsx
"Table C-2. Hay fever, respiratory allergies, food allergies, and skin allergies in the past 12 months for children under age 18 years, by selected characteristics: United States, 2015",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_C-2.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_C-2.xlsx
"Table C-3. Ever having been told of having a learning disability or attention deficit/hyperactivity disorder for children aged 3-17 years, by selected characteristics: United States, 2015",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_C-3.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_C-3.xlsx
"Table C-4. Having a problem for which prescription medication has been taken regularly for at least 3 months for children under age 18 years, by selected characteristics: United States, 2015",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_C-4.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_C-4.xlsx
"Table C-5. Respondent-assessed health status for children under age 18 years by selected characteristics: United States, 2015",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_C-5.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_C-5.xlsx
"Table C-6. Number of school days missed in the past 12 months because of illness or injury for children aged 5-17 years, by selected characteristics: United States, 2015",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_C-6.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_C-6.xlsx
"Table C-7. Usual place of health care, and type of place, for children under age 18 years, by selected characteristics: United States, 2015",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_C-7.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_C-7.xlsx
"Table C-8. Length of time since last contact with a health care professional for children under age 18 years, by selected characteristics: United States, 2015",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_C-8.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_C-8.xlsx
"Table C-9. Selected measures of health care access for children under age 18 years by selected characteristics: United States, 2015",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_C-9.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_C-9.xlsx
"Table C-10. Emergency room visits in the past 12 months for children under age 18 years by selected characteristics: United States, 2015",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_C-10.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_C-10.xlsx
"Table C-11. Unmet dental need in the past 12 months and of length of time since last dental visit for children aged 2-17 years, by selected characteristics: United States, 2015",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_C-11.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_C-11.xlsx
"Table C-12. Receiving special education or early intervention services for children under age 18 years, by selected characteristics: United States, 2015",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_C-12.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_C-12.xlsx
"Table A-1. Selected circulatory diseases among adults aged 18 and over, by selected characteristics: United States, 2015",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_A-1.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_A-1.xlsx
"Table A-2. Selected respiratory diseases among adults aged 18 and over, by selected characteristics: United States, 2015",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_A-2.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_A-2.xlsx
"Table A-3. Cancer among adults aged 18 and over, by selected characteristics: United States, 2015",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_A-3.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_A-3.xlsx
"Table A-4. Selected diseases and conditions among adults aged 18 and over, by selected characteristics: United States, 2015",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_A-4.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_A-4.xlsx
"Table A-5. Migraines and pain in neck, lower back, face, or jaw among adults aged 18 and over, by selected characteristics: United States, 2015",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_A-5.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_A-5.xlsx
"Table A-6. Hearing trouble, vision trouble, and absence of teeth among adults aged 18 and over, by selected characteristics: United States, 2015",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_A-6.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_A-6.xlsx
"Table A-7. Feelings of sadness, hopelessness, worthlessness, or that everything is an effort among adults aged 18 and over, by selected characteristics: United States, 2015",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_A-7.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_A-7.xlsx
"Table A-8. Feelings of nervousness, restlessness, or serious psychological distress among adults aged 18 and over, by selected characteristics: United States, 2015",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_A-8.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_A-8.xlsx
"Table A-9. Work-loss days among employed adults aged 18 and over in past 12 months, and bed days among all adults aged 18 and over in past 12 months, by selected characteristics: United States, 2015",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_A-9.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_A-9.xlsx
"Table A-10. Difficulties in physical functioning among adults aged 18 and over, by selected characteristics: United States, 2015",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_A-10.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_A-10.xlsx
"Table A-11. Respondent-assessed health status among adults aged 18 and over, by selected characteristics: United States, 2015",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_A-11.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_A-11.xlsx
"Table A-12. Current cigarette smoking status among adults aged 18 and over, by selected characteristics: United States, 2015",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_A-12.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_A-12.xlsx
"Table A-13. Alcohol drinking status among adults aged 18 and over, by selected characteristics: United States, 2015",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_A-13.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_A-13.xlsx
"Table A-14. Participation in leisure-time aerobic and muscle-strengthening activities that meet the 2008 federal physical activity guidelines among adults aged 18 and over, by selected characteristics: United States, 2015",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_A-14.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_A-14.xlsx
"Table A-15. Body mass index among adults aged 18 and over, by selected characteristics: United States, 2015",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_A-15.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_A-15.xlsx
"Table A-16. Having a usual place of health care, and of type of place, among adults aged 18 and over, by selected characteristics: United States, 2015",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_A-16.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_A-16.xlsx
"Table A-17. Number of office visits to doctor or other health care professional in past 12 months among adults aged 18 and over, by selected characteristics: United States, 2015",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_A-17.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_A-17.xlsx
"Table A-18. Length of time since last contact with doctor or other health professional among adults aged 18 and over, by selected characteristics: United States, 2015",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_A-18.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_A-18.xlsx
"Table A-19. Length of time since last visit with dentist other dental health professional among adults aged 18 and over, by selected characteristics: United States, 2015",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_A-19.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_A-19.xlsx
"Table A-20. Human immunodeficiency virus testing status among adults aged 18 and over, by selected characteristics: United States, 2015",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_A-20.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2015_SHS_Table_A-20.xlsx
"Table ALC-1. Lifetime alcohol drinking status among adults aged 18 and over, by sex and selected characteristics: United States, annualized, 2011-2014",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2011-2014_AHB_Table_ALC-1.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2011-2014_AHB_Table_ALC-1.xlsx
"Table ALC-2. Current alcohol drinking status among adults aged 18 and over, by sex and selected characteristics: United States, annualized, 2011-2014",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2011-2014_AHB_Table_ALC-2.pdf,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/NHIS/SHS/2011-2014_AHB_Table_ALC-2.xlsx
